Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	domain:Ig-like C2-type 2	6	4.137931034482759	0.012140322865857962	35038_AT, 33530_AT, 35956_S_AT, 1112_G_AT, 1355_G_AT, 1786_AT	136	203	20063	4.360257896261953	0.9994399929296122	0.6077850091854771	16.55060958109953	
UP_SEQ_FEATURE	metal ion-binding site:Iron; catalytic	3	2.0689655172413794	0.012184211940943783	32073_AT, 34636_AT, 37166_AT	136	25	20063	17.70264705882353	0.999455039037328	0.5661157029613709	16.605510723265937	
KEGG_PATHWAY	hsa05202:Transcriptional misregulation in cancer	6	4.137931034482759	0.02170673071651567	1974_S_AT, 37096_AT, 33284_AT, 1983_AT, 39187_AT, 37711_AT	67	168	6910	3.683368869936034	0.9789837348419533	0.8550301232736721	23.608758463618884	
KEGG_PATHWAY	hsa04020:Calcium signaling pathway	6	4.137931034482759	0.027630353479769235	38236_AT, 37983_AT, 32418_AT, 1419_G_AT, 34467_G_AT, 1901_S_AT	67	179	6910	3.4570165930125905	0.9927835227402539	0.8067549332723115	29.09513285045954	
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme axial ligand)	4	2.7586206896551726	0.029266374155969197	38229_AT, 33284_AT, 1391_S_AT, 1419_G_AT	136	99	20063	5.960487225193107	0.9999999876306988	0.838104597213313	35.595087822613834	
INTERPRO	IPR003599:Immunoglobulin subtype	9	6.206896551724138	0.030089850841636515	35038_AT, 31512_AT, 33530_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 1112_G_AT, 37968_AT, 1355_G_AT, 1786_AT	137	497	18559	2.453127524269706	0.99999220835834	0.9048681824678819	34.54243267189718	
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	7	4.827586206896552	0.03412947735082442	1974_S_AT, 41280_R_AT, 919_AT, 1355_G_AT, 40186_AT, 1855_AT, 37711_AT	67	255	6910	2.8311384255194616	0.9977831897416495	0.7830137918164464	34.69652757630083	
INTERPRO	IPR002337:Haemoglobin, beta	2	1.3793103448275863	0.03611066740522008	33516_AT, 31687_F_AT	137	5	18559	54.18686131386861	0.999999291300759	0.9055771739514944	39.95877242525886	
UP_SEQ_FEATURE	lipid moiety-binding region:S-palmitoyl cysteine	5	3.4482758620689653	0.03649209783826802	37983_AT, 38691_S_AT, 919_AT, 34467_G_AT, 32279_AT	136	185	20063	3.9870826709062004	0.9999999998731509	0.8740208038557543	42.34256938977863	
INTERPRO	IPR003598:Immunoglobulin subtype 2	6	4.137931034482759	0.03707183352490331	35038_AT, 33530_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 1112_G_AT, 1355_G_AT	137	250	18559	3.251211678832117	0.9999995173327906	0.8747828050327784	40.78391094097162	
INTERPRO	IPR012346:p53/RUNT-type transcription factor, DNA-binding domain	2	1.3793103448275863	0.043175933614878384	1974_S_AT, 39187_AT	137	6	18559	45.15571776155718	0.9999999582789941	0.8804514408050843	45.78339923829765	
KEGG_PATHWAY	hsa04550:Signaling pathways regulating pluripotency of stem cells	5	3.4482758620689653	0.04428953320913698	33684_AT, 35915_AT, 2090_I_AT, 40186_AT, 35373_AT	67	140	6910	3.6833688699360336	0.9996553039907821	0.7970041071501998	42.6438849911534	
INTERPRO	IPR001811:Chemokine interleukin-8-like domain	3	2.0689655172413794	0.044735806359097824	36703_AT, 37454_AT, 1403_S_AT	137	46	18559	8.834814344652493	0.9999999777388686	0.8588348577135212	46.996591095257855	
UP_SEQ_FEATURE	site:Not glycated	2	1.3793103448275863	0.04616817341315008	31687_F_AT, 31525_S_AT	136	7	20063	42.14915966386555	0.9999999999997392	0.9105971011271243	50.34936275807538	
INTERPRO	IPR013783:Immunoglobulin-like fold	13	8.96551724137931	0.04668047650360763	35038_AT, 32469_AT, 33530_AT, 1112_G_AT, 37968_AT, 1355_G_AT, 1786_AT, 31512_AT, 35090_G_AT, 35956_S_AT, 34249_AT, 35091_AT, 38508_S_AT, 35566_F_AT	137	951	18559	1.8518117694013982	0.9999999898417806	0.8412616876151546	48.473780636736784	
KEGG_PATHWAY	hsa05222:Small cell lung cancer	4	2.7586206896551726	0.04723102332936865	1974_S_AT, 1419_G_AT, 35373_AT, 1910_S_AT	67	85	6910	4.853380158033362	0.9997996363532653	0.7580996549105201	44.77295784129276	
INTERPRO	IPR004724:Epithelial sodium channel	2	1.3793103448275863	0.05018978975537903	37953_S_AT, 40317_AT	137	7	18559	38.70490093847758	0.9999999975442677	0.8350739778545739	51.04324661369603	
KEGG_PATHWAY	hsa05215:Prostate cancer	4	2.7586206896551726	0.05143907414603294	1974_S_AT, 35373_AT, 1901_S_AT, 1910_S_AT	67	88	6910	4.687924016282225	0.9999080650565576	0.7349337870284232	47.69275729907317	
INTERPRO	IPR002402:Cytochrome P450, E-class, group II	2	1.3793103448275863	0.05715260716725226	38229_AT, 1391_S_AT	137	8	18559	33.86678832116788	0.9999999998554757	0.8486455964985384	55.79305165351661	
INTERPRO	IPR020903:Na+ channel, amiloride-sensitive, conserved site	2	1.3793103448275863	0.05715260716725226	37953_S_AT, 40317_AT	137	8	18559	33.86678832116788	0.9999999998554757	0.8486455964985384	55.79305165351661	
INTERPRO	IPR007110:Immunoglobulin-like domain	11	7.586206896551724	0.057220344030886355	35038_AT, 31512_AT, 32469_AT, 33530_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 1112_G_AT, 37968_AT, 1355_G_AT, 35566_F_AT, 1786_AT	137	771	18559	1.9327350014674276	0.9999999998594186	0.8253581584881868	55.837083235531594	
SMART	SM00199:SCY	3	2.0689655172413794	0.057562149564427255	36703_AT, 37454_AT, 1403_S_AT	92	43	10057	7.626643073811931	0.998528368061655	0.9616381447483958	48.8199376840691	
BIOCARTA	h_tffPathway:Trefoil Factors Initiate  Mucosal Healing	3	2.0689655172413794	0.058956158331334746	37898_R_AT, 35373_AT, 1901_S_AT	26	26	1625	7.211538461538462	0.9978392946233056	0.9978392946233056	49.121078354131974	
UP_SEQ_FEATURE	glycosylation site:N-linked (Glc) (glycation)	2	1.3793103448275863	0.05896605027255388	31687_F_AT, 31525_S_AT	136	9	20063	32.782679738562095	0.9999999999999999	0.943063864158153	59.35317317691447	
OMIM_DISEASE	611162~Malaria, resistance to	2	1.3793103448275863	0.05903619153348528	31687_F_AT, 1419_G_AT	42	7	4740	32.244897959183675	0.9958162783291231	0.9958162783291231	48.41700558551081	
UP_SEQ_FEATURE	mutagenesis site	22	15.172413793103448	0.06063150116647114	33963_AT, 1974_S_AT, 32469_AT, 40350_AT, 32680_AT, 34636_AT, 37408_AT, 32084_AT, 41489_AT, 967_G_AT, 1331_S_AT, 35439_AT, 37711_AT, 1910_S_AT, 32073_AT, 33371_S_AT, 34249_AT, 1391_S_AT, 37953_S_AT, 41280_R_AT, 33922_AT, 966_AT, 35213_AT	136	2191	20063	1.4812803715735496	1.0	0.935344642224748	60.405820479419035	
UP_SEQ_FEATURE	domain:Fibronectin type-III 2	4	2.7586206896551726	0.06080970198008291	35038_AT, 1112_G_AT, 38508_S_AT, 1786_AT	136	133	20063	4.436753648827952	1.0	0.9229929733182358	60.516933878269775	
UP_SEQ_FEATURE	domain:Fibronectin type-III 1	4	2.7586206896551726	0.061908585528032585	35038_AT, 1112_G_AT, 38508_S_AT, 1786_AT	136	134	20063	4.403643546971027	1.0	0.9135743328025911	61.19572046178652	
INTERPRO	IPR023411:Ribonuclease A, active site	2	1.3793103448275863	0.06406475451202753	36766_AT, 33979_AT	137	9	18559	30.103811841038116	0.9999999999914958	0.8380952604847636	60.08224899737593	
INTERPRO	IPR001873:Na+ channel, amiloride-sensitive	2	1.3793103448275863	0.06406475451202753	37953_S_AT, 40317_AT	137	9	18559	30.103811841038116	0.9999999999914958	0.8380952604847636	60.08224899737593	
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	4	2.7586206896551726	0.06672428193883966	1419_G_AT, 35373_AT, 1901_S_AT, 1910_S_AT	67	98	6910	4.209564422784039	0.9999947306856658	0.7811133556559607	57.14663289088503	
BBID	38.Cell_cycle_arrest_and_apoptosis_ceramide	2	1.3793103448275863	0.07534228874416601	1974_S_AT, 1910_S_AT	7	5	388	22.17142857142857	0.8695314330844549	0.8695314330844549	47.39613172739679	
SMART	SM00408:IGc2	6	4.137931034482759	0.07599084344942736	35038_AT, 33530_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 1112_G_AT, 1355_G_AT	92	250	10057	2.623565217391304	0.9998323551404481	0.9448604250753248	59.054894484659684	
SMART	SM00409:IG	9	6.206896551724138	0.08018874895860549	35038_AT, 31512_AT, 33530_AT, 35090_G_AT, 35956_S_AT, 35091_AT, 1112_G_AT, 37968_AT, 1355_G_AT, 1786_AT	92	497	10057	1.9795512203656724	0.9998984081364207	0.8996043879365584	61.10810917664586	
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis (ALS)	3	2.0689655172413794	0.08215681163111564	1974_S_AT, 38236_AT, 1910_S_AT	67	50	6910	6.188059701492537	0.9999997199380543	0.8129674812829231	65.0760780330053	
INTERPRO	IPR013098:Immunoglobulin I-set	4	2.7586206896551726	0.0850199805749173	35038_AT, 35090_G_AT, 35091_AT, 1112_G_AT, 1355_G_AT	137	141	18559	3.8430398094942277	0.9999999999999986	0.8977732233482717	70.84176009065791	
KEGG_PATHWAY	hsa05213:Endometrial cancer	3	2.0689655172413794	0.08787246207739806	1974_S_AT, 35373_AT, 1901_S_AT	67	52	6910	5.950057405281285	0.9999999067218537	0.8018573392125744	67.65314334267829	
BBID	152.altered_synaptic_signalling-neurodegenerative_disorders	2	1.3793103448275863	0.08982778813719766	1974_S_AT, 1910_S_AT	7	6	388	18.476190476190474	0.9134608003738439	0.7058245427875465	53.785158481132854	
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...); partial	2	1.3793103448275863	0.09021990894171995	33963_AT, 37172_AT	136	14	20063	21.074579831932773	1.0	0.9669405264449411	75.35418698019323	
UP_SEQ_FEATURE	metal ion-binding site:Zinc	4	2.7586206896551726	0.09256172926328456	32073_AT, 1974_S_AT, 1419_G_AT, 37172_AT	136	159	20063	3.711246762856086	1.0	0.9634036632910188	76.27736695949949	
KEGG_PATHWAY	hsa05217:Basal cell carcinoma	3	2.0689655172413794	0.09666143146215975	1974_S_AT, 33684_AT, 2090_I_AT	67	55	6910	5.625508819538671	0.9999999830293944	0.8033885305235956	71.27689936708231	
INTERPRO	IPR006539:Phospholipid-transporting  P-type ATPase, subfamily IV	2	1.3793103448275863	0.09787815974776798	33685_AT, 39469_S_AT	137	14	18559	19.35245046923879	1.0	0.9161373065544588	76.03884608149852	
KEGG_PATHWAY	hsa05223:Non-small cell lung cancer	3	2.0689655172413794	0.09964540767499694	1974_S_AT, 35373_AT, 1901_S_AT	67	56	6910	5.525053304904051	0.9999999905203829	0.7855138602899014	72.41976762037983	


